Info: [VCS_SAVE_RESTORE_INFO] ASLR (Address Space Layout Randomization) is detected on the machine. To enable $save functionality, ASLR will be switched off and simv re-executed.
Please use '-no_save' simv switch to avoid re-execution or '-suppress=ASLR_DETECTED_INFO' to suppress this message.
Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09-SP2-5_Full64; Runtime version W-2024.09-SP2-5_Full64;  May  4 12:16 2026
t=0 pxl_in=0 | pxl_out=x valid=0
t=4971000 pxl_in=134 | pxl_out=1071 valid=1
t=4990000 pxl_in=134 | pxl_out=1073 valid=1
t=4991000 pxl_in=131 | pxl_out=1073 valid=1
t=5010000 pxl_in=131 | pxl_out=1071 valid=1
t=5011000 pxl_in=130 | pxl_out=1071 valid=1
t=5030000 pxl_in=130 | pxl_out=1061 valid=1
t=5031000 pxl_in=131 | pxl_out=1061 valid=1
t=5050000 pxl_in=131 | pxl_out=1050 valid=1
t=5051000 pxl_in=135 | pxl_out=1050 valid=1
t=5070000 pxl_in=135 | pxl_out=1046 valid=1
t=5071000 pxl_in=138 | pxl_out=1046 valid=1
t=5090000 pxl_in=138 | pxl_out=1049 valid=1
t=5091000 pxl_in=131 | pxl_out=1049 valid=1
t=5110000 pxl_in=131 | pxl_out=1046 valid=1
t=5111000 pxl_in=107 | pxl_out=1046 valid=1
t=5130000 pxl_in=107 | pxl_out=1010 valid=1
